cpse,material_code,description,uom,category_hint,hsn_code,last_rate_inr,true_material_id
SAIL,S100560,GREASE / NLGI 3 / 5 kg / LITHIUM,PKTS,F7,2710,370,X5024
SAIL,S100511,CONTACTOR / 4 pole / 32 A / 230 V AC,NUM,E6,8544,1672,T0066
SAIL,S100616,CENTRIFUGAL PUMP / 32 m / 25 m3/hr / MECH / 3.7 kW,NUM,G8,8413,28469,T0076
SAIL,S100077,HEX NUT / M12 / DIN-934 / GALVANIZED / 8 GR,NUM,A1,,6,T0012
SAIL,S100217,BALL BEARING / DEEP GROOVE / OPEN / 50 mm / 6210,NUM,,8482,233,T0030
SAIL,S100140,STUD BOLT / M20x100MM / B7 / PLAIN,NUM,A1,7318,91,T0021
SAIL,S100553,GREASE / 5 kg / NLGI 2,PKTS,F7,,418,T0070
SAIL,S100399,PIPE SS / A312 TP304 / SEAMLESS / 2 INCH NB / SCH 10,MTR.,D4,7304,848,X5016
SAIL,S100651,PRESSURE GAUGE / 0-10 kg/cm2 / 4 INCH / BOURDON,NUM,H9,9026,1304,T0079
SAIL,S100343,BUTTERFLY VALVE / 150# / 6 INCH,NUM,C3,8481,3017,T0045
SAIL,S100084,HEX NUT / 8 GR / DIN-934 / GALVANIZED / M12,NUM,A1,7318,6,T0012
SAIL,S100532,CONTACTOR / 4 pole / 65 A / 230 V AC,NUM,E6,8544,1684,X5022
SAIL,S100602,GEAR OIL / EP / 20 L / ISO-VG-220,PKTS,F7,,280,T0074
SAIL,S100203,BALL BEARING / 628 / 45 mm / DEEP GROOVE,NUM,D4,8482,258,T0028
SAIL,S100413,ELBOW / SCH 40 / 90 deg / ASTM-A234-WPB / 3 INCH,NUM,D5,7307,379,T0054
SAIL,S100672,THERMOWELL / 150 mm / 1/2 INCH,NUM,B2,9026,827,T0081
SAIL,S100098,HEX NUT / DIN-934 / GALVANIZED / M18 / 8 GR,NUM,A1,7318,5,T0014
SAIL,S100091,HEX NUT / GALVANIZED / M14 / 8 GR / DIN-934,NUM,A1,7318,6,T0013
SAIL,S100126,FLAT WASHER / ZP / DIN-125 / M14,NUM,A1,7318,3,T0019
SAIL,S100504,INDUCTION MOTOR / 3 PHASE / 1440 RPM / 10 HP / B3,NUM,E6,8544,18422,T0065
SAIL,S100371,PIPE SEAMLESS / SEAMLESS,MTR.,D4,7304,299,T0048
SAIL,S100357,SAFETY VALVE / 1 INCHx1.5 INCH / 150#,NUM,,8481,3810,T0046
SAIL,S100028,HEX BOLT / DIN-933 / M20x80MM / BLACK / 8.8 GR,NUM,,7318,16,T0004
SAIL,S100245,ROLLER BEARING / SPHERICAL / 22206 / OPEN,NUM,,8482,1686,T0032
SAIL,S100266,ROLLER BEARING / 50 mm / NU310 E / CYLINDRICAL / OPEN,NUM,B2,8482,1737,X5011
SAIL,S100210,BALL BEARING / DEEP GROOVE / 2 RS,NUM,B2,8482,234,T0029
SAIL,S100259,ROLLER BEARING / NU310 / 50 mm / CYLINDRICAL / OPEN,NUM,B2,8482,1754,T0034
SAIL,S100658,PRESSURE GAUGE / 1/2 BSP / 4 INCH / BOURDON / 0-16 kg/cm2,NUM,H9,9026,1379,X5028
SAIL,S100392,PIPE SS / 2 INCH NB / A312 TP316 / SEAMLESS,MTR.,D4,7304,831,T0052
SAIL,S100434,FLANGE / 2 INCH / ASTM-A105 / SLIP ON / 150# / RF,NUM,D5,7307,592,T0058
SAIL,S100056,HEX NUT / M16 / ZP / 8 GR / DIN-934,NUM,A1,7318,6,T0010
SAIL,S100518,CONTACTOR / 3 pole / 230 V AC / 65 A,NUM,E6,8544,1796,T0067
SAIL,S100301,BALL VALVE / 800# / SS-316 / FLANGED / 2 INCH,NUM,C3,8481,1351,T0040
SAIL,S100133,FLAT WASHER / DIN-125 / M18 / ZP,NUM,,7318,3,T0020
SAIL,S100238,ROLLER BEARING / 22206 / OPEN / 30 mm,NUM,B2,8482,1678,T0032
SAIL,S100105,HEX NUT / 8 GR / DIN-934 / GALVANIZED / M20,NUM,A1,7318,6,T0015
SAIL,S100294,BALL VALVE / 1 INCH / SCREWED / SS-316 / 150#,NUM,C3,8481,1311,T0039
SAIL,S100154,SOCKET HEAD CAP SCREW / M10x30MM / ZP / DIN-912 / 12.9 GR,NUM,A1,7318,22,T0024
SAIL,S100322,GLOBE VALVE / 150# / 2 INCH / FLAoGED / CAST STEEL,NUM,H9,8481,3513,T0042
SAIL,S100007,HEX BOLT / 8.8 GR / BLACK / DIN-931,NUM,A1,7318,16,T0001
SAIL,S100063,HEX NUT / PLAIN / M10 / DIN-934 / A270,NUM,A1,,6,T0011
SAIL,S100406,ELBOW / 2 INCH / SCH 40,NUM,D5,7307,349,X5017
SAIL,S100112,FLAT WASHER / DIN-125 / ZP / M16,NUM,,7318,3,T0016
SAIL,S100049,HEX BOLT / DIN-933 / 8.8 GR / GALVANIZED / M24x96MM,NUM,A1,7318,17,T0009
SAIL,S100231,BALL BEARING / 25 mm / ZZ / 6305 / DEEP GROOVE,NUM,B2,8482,256,X5010
SAIL,S100315,GLOBE VALVE / FORGED STEEL / SOCKET WELD / 800#,NUM,C3,8481,3286,X5014
SAIL,S100385,PIPE ERW / IS-1239 / SCH 40 / 4 INCH NB / ERW,MTR.,D4,,225,T0051
SAIL,S100196,BALL BEARING / 2 RS / 35 mm / 627,NUM,B2,8482,247,T0027
SAIL,S100336,CHECK VALVE / 150# / CASr STEEL / 3 INCH / FLANGED,NUM,D5,8481,2631,T0044
SAIL,S100350,SAFETY VALVE / SCREWED / 1 INCHx1.5 INCH / 150#,NUM,C3,8481,4167,T0046
SAIL,S100168,BALL BEARxNG / 25 mm / DEEP GROOVE / 2 RS,NUM,B2,8482,228,T0025
SAIL,S100329,CHECK VALVE / CAST IRON / FLANGED,NUM,F7,8481,2844,T0043
SAIL,S100119,FLAT WASHER / M12 / ZP / DIN-125,NUM,A1,7318,3,T0018
SAIL,S100161,SOCKET HEAD CAP SCREW / ZP / 12.9 GR / M10x35MM / DIN-912,NUM,A1,7318,20,X5008
SAIL,S100308,GLOBE VALVE / FORGED STEEL / SOCKET WELD / 1.5 INCH / 800#,NUM,C3,,3354,T0041
SAIL,S100224,BALL BEARING / 6305 / DEEP GROOVE / 25 mm / 2 RS,NUM,B2,8482,238,T0031
SAIL,S100497,INDUCTION MOTOR / B3 / 10 HP / 1440 RPM,NUM,E6,8544,17393,T0065
SAIL,S100014,HEX BhLT / ZP / 8.8 GR / M12x40MM / IS-1364,NUM,C3,,16,T0002
SAIL,S100483,CABLE / XLPE / 4C-10SQMM,NUM,E6,8544,95,T0063
SAIL,S100546,MCB / 2P / C curve / 415 V,NUM,E6,8544,396,X5023
SAIL,S100609,GEAR OIL / ISO-VG-220 / EP / 20 L,PKTS,F7,2710,264,T0074
SAIL,S100539,MCB / 32 A / 415 V / C curve / 4P,NUM,E6,,416,T0068
SAIL,S100280,GATE VALVE / 3 INCH / 150# / CAST STEEL / FLANGED,NUM,,8481,4494,T0036
SAIL,S100665,PRESSURE GAUGE / 0-10 kg/cm2 / 1/2 BSP / 6 INCH,NUM,H9,,1262,T0080
SAIL,S100679,THERMOWELL / 150 mm / 1/2 INCH / SS-304,NUM,H9,9026,806,X5029
