cpse,material_code,description,uom,category_hint,hsn_code,last_rate_inr,true_material_id
CPCL,MAT100027,"STUD BOLT PLN, ASTM A193, M20x100, B16",NOS,FST,7318,93,X5007
CPCL,MAT100012,"HEX BOLT M24x96, DIN 933, HDG",NOS,PIP,7318,19,T0009
CPCL,MAT100002,"HEX BOLT BLK OX, M16x60, 10.9",NOS,FST,7318,17,X5001
CPCL,MAT100070,"CAeLE 1.1 kV, PVC, 2C x 1.5",NOS,ELE,8544,95,T0062
CPCL,MAT100010,"HEX BOLT HDG, M14x56, 8.8",NOS,,,18,T0007
CPCL,MAT100056,"PIPE ERW IS 1239, ERW, SCH 40, 4"" NPS",MTR,PMP,7304,257,T0051
CPCL,MAT100004,"HEX BOLT IS 1364, 8.8, M12x45, ZN",NOS,FST,7318,18,X5002
CPCL,MAT100007,"HEX BOLT DIN 933, M10x30, A2-70, PLN",NOS,FST,,18,T0005
CPCL,MAT100055,"PIPE SEAMLESS 6"" NPS, SCH 40, ASTM A106 Gr B, SMLS",MTR,PIP,7304,301,T0049
CPCL,MAT100026,"STUD BOLT M20x100, B7",NOS,FST,7318,94,T0021
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",NOS,VLV,8481,2906,T0044
CPCL,MAT100009,"HEX BOLT M12x50, DIN 931, PLN",NOS,FST,7318,19,T0006
CPCL,MAT100065,"FLANGE RF, SO, CL 150, ASTM A105, 2""",NOS,,7307,606,T0058
CPCL,MAT100015,"HEX NUT A4-70, PLb, M10",NOS,FST,7318,6,X5005
CPCL,MAT100011,"HEX BOLT M18x72, 8.8, HDG, DIN 933",NOS,FST,7318,19,T0008
CPCL,MAT100075,"CONTACTOR 3 pole, 65 A",NOS,ELE,,1865,T0067
CPCL,MAT100085,"CENTRIFUGAL PUMP MECH, 5.5 kW, 25 m3/hr, 32 m",NOS,PMP,8413,26674,X5027
CPCL,MAT100089,"THERMOWELL 1/2"", 150 mm",NOS,INS,9026,943,T0081
CPCL,MAT100053,"PIPE SEAMLESS SMLS, 2"" NPS, ASTM A106 Gr B",MTR,,,290,X5015
CPCL,MAT100061,TEE SCH 80,NOS,FIT,7307,407,T0056
CPCL,MAT100003,"HEX BOLT ZN, 8.8, mS 1364, M12x40",NOS,FST,7318,19,T0002
CPCL,MAT100069,CABLE 3C x 4.0,NOS,PIP,8544,90,X5020
CPCL,MAT100008,"HEX BOLT M10x30, DIN 933, A4-70, PLN",NOS,FST,7318,19,X5004
CPCL,MAT100021,"FLAT WASHER ZN, M10, DIN 125",NOS,,7318,3,T0017
CPCL,MAT100014,"HEX NUT PLN, DIN 934, A2-70, M10",NOS,FST,7318,6,T0011
CPCL,MAT100046,"BALL VALVE 2"", SS 316, CL 800, eLG",NOS,,8481,1297,T0040
CPCL,MAT100088,"PRESSURE GAUGE BOURDON, 6"", 1/2 BSP, 0-10 kg/cm2",NOS,INS,9026,1406,T0080
CPCL,MAT100052,"PIPE SEAMLESS ASTM A106 Gr B, SCH 40, SMLS",MTR,PIP,7304,333,T0047
CPCL,MAT100057,"PIPE SS 2"" NPS, SCH 10, SMLS, A312 TP316",MTR,PIP,7304,858,T0052
CPCL,MAT100083,"TURBINE OIL MIN, 20 L, ISO VG 32",PKT,,2710,347,T0075
CPCL,MAT100086,"GEAR PUMP 1.5 kW, 10 bar, 0.5 LPM",NOS,,8413,16009,T0078
CPCL,MAT100062,"TEE 1"", SCH 40, ASTM A234 WPB",NOS,FIT,7307,416,X5018
CPCL,MAT100023,"FLAT WASHER M14, ZN, DIN 125",NOS,FST,7318,3,T0019
CPCL,MAT100016,"HEX NUT DIN 934, M12, HDG",NOS,FST,7318,6,T0012
CPCL,MAT100028,"STUD BOLT ASTM A193, PLN",NOS,,7318,89,T0022
CPCL,MAT100090,"LEVEL INDICATOR 0-2000 mm, 1"" NPT, MAG FLOAT",NOS,INS,,11896,T0082
CPCL,MAT100060,"ELBOW ASTM A234 WPB, SCH 40, 90 deg, 3""",NOS,,,382,T0054
CPCL,MAT100034,"BALL BEARING 2RS, DG, 35 mm, 627",NOS,BRG,8482,254,T0027
CPCL,MAT100072,"INDUCTION MOTOR 3 PH, 1440 RPM, B3, 5 HP",NOS,ELE,8544,17919,T0064
CPCL,MAT100077,"GREASE 5 kg, LI, NLGI 2",PKT,LUB,2710,400,T0070
CPCL,MAT100006,"HEX BOLT BLK OX, 8.8, M20x80",NOS,FST,7318,19,T0004
CPCL,MAT100035,"BALL BEARING 45 mm, DG, 628",NOS,BRG,8482,276,T0028
CPCL,MAT100076,"MCB 415 V, 32 A, 4P, C curve",NOS,ELE,8544,485,T0068
CPCL,MAT100051,"SAFETY VALVE BRZ, CL 150, SCR",NOS,VLV,8481,3958,T0046
CPCL,MAT100041,"ROLLER BEARING CYL, NU310, 50 mm",NOS,BRG,8482,1975,T0034
CPCL,MAT100017,"HEX NUT M14, DIN 934, 8, HDG",NOS,FST,7318,6,T0013
CPCL,MAT100074,CONTACTOR 32 A,NOS,ELE,8544,1825,T0066
CPCL,MAT100042,"GATE VALVE CS, FLG, 3"", CL 150",NOS,VLV,8481,4911,T0036
CPCL,MAT100019,"HEX NUT DIN 934, 8, HDG",NOS,FST,7318,6,T0015
CPCL,MAT100082,"GEAR OIL EP, ISO VG 320",PKT,LUB,2710,313,X5026
CPCL,MAT100048,"GLOBE VALVE FLG, 2"", CL 150, CS",NOS,VLV,8481,3460,T0042
CPCL,MAT100080,"TURBINE OIL ISO VG 46, MIN, 20 L",PKT,LUB,2710,332,T0073
CPCL,MAT100001,"HEX BOLT DIN 931, 8.8, M16x60",NOS,FST,7318,19,T0001
CPCL,MAT100036,"BALL BEARING 2RS, 55 mm, DG, 629",NOS,BRG,8482,269,T0029
CPCL,MAT100043,"GATE VALVE CL 300, CS, 4""",NOS,VLV,8481,5015,T0037
CPCL,MAT100031,"BALL BEARING 2RS, 25 mm, 6205, DG",NOS,BRG,,255,T0025
CPCL,MAT100071,"CABLE 1.1 kV, XLPE",NOS,,,93,T0063
CPCL,MAT100073,"INDUCTION MOTOR 10 HP, 3 PH, B3, 1440 RPM",NOS,ELE,8544,19808,T0065
CPCL,MAT100045,"BALL VALVE SS 316, CL 150, 1""",NOS,,8481,1353,T0039
CPCL,MAT100081,"GEAR OIL ISO VG 220, 20 L",PKT,LUB,2710,304,T0074
CPCL,MAT100054,"PIPE SEAMLESS SMLS, 3"" NPS, ASTM A106 Gr B, SCH 40",MTR,,7304,295,T0048
