cpse,material_code,description,uom,category_hint,hsn_code,last_rate_inr,true_material_id
NTPC,EGW000068,"Cable, XLPE, 1.1 kV, 3C X 2.5 Sq mm",NOS.,MC-E,8544,109,T0061
NTPC,EGW000011,"Hex Bolt, Gr.8.8, H.D.G., M24 x 96 mm",NOS.,,7318,19,T0009
NTPC,EGW000069,"Cable, 3C X 4.0 Sq mm, 1.1 kV, XLPE",NOS.,MC-E,,103,X5020
NTPC,EGW000006,"Hex Bolt, DIN 933, M10 x 30 mm, Gr.A4-70, Plain Finish",NOS.,MC-F,7318,19,X5004
NTPC,EGW000009,"Hex Bolt, H.D.G., DIN 933, M14 x 56 mm",NOS.,MC-F,7318,22,T0007
NTPC,EGW000050,"Butterfly Valve, Wafer, C.I., 6""",NOS.,MC-V,8481,3555,T0045
NTPC,EGW000007,"Hex Bolt, Gr.A4-70, M12 x 50 mm, DIN 931, Plain Finimh",NOS.,MC-F,,22,T0006
NTPC,EGW000041,"Roller Bearing, 30 mm, 22206",NOS.,MC-B,8482,1993,T0032
NTPC,EGW000075,"Mcb, 4P, 32 A, 415 V, C curve",NOS.,MC-E,8544,488,T0068
NTPC,EGW000045,"Gate Valve, C.S., 4"", Class 300",NOS.,MC-V,,5199,T0037
NTPC,EGW000087,"Centrifugal Pump, 25 m3/hr, Mech., 32 m, 3.7 kW",NOS.,MC-PM,8413,34865,T0076
NTPC,EGW000090,"Gear Pump, Gland, 1.5 kW, 10 bar",NOS.,MC-PM,,17797,T0078
NTPC,EGW000081,"Grease, 5 kg, Lithium-EP, NLGI 2",PACK,MC-L,2710,513,X5025
NTPC,EGW000077,"Mcb, C curve, 63 A, 415 V, 4P",NOS.,MC-E,8544,538,T0069
NTPC,EGW000038,"Ball Bearing, 2RS, D.G., 25 mm",NOS.,MC-B,8482,276,T0031
NTPC,EGW000008,"Hex Bolt, Gr.A4-70, Plain Finish, M12 x 50 mm",NOS.,,7318,21,T0006
NTPC,EGW000003,"Hex Bolt, IS 1364, M12 x 45 mm, Gr.8.8, Zinc Pltd",NOS.,MC-V,7318,21,X5002
NTPC,EGW000057,"Ss Pipe, 2"" NB, SCH 10",MTRS,MC-P,7304,977,T0052
NTPC,EGW000013,"Hex Nut, Gr.A2-70, Plain Finish, DIN 934, M10",NOS.,MC-F,7318,7,T0011
NTPC,EGW000083,"Turbine Oil, ISO VG 46, Mineral, 20 L",PACK,MC-L,,393,T0073
NTPC,EGW000055,"Erw Pipe, E.R.W., 4"" NB, IS 1239",MTRS,,7304,286,T0051
NTPC,EGW000072,"Motor, B-3, 5 HP, 1440 RPM, 3-Phase",NOS.,MC-E,,21934,T0064
NTPC,EGW000010,"Hex Bolt, DIN 933, Gr.8.8, H.D.G., M18 x 72 mm",NOS.,MC-F,7318,21,T0008
NTPC,EGW000062,"Reducer, 2""x1"", SCH 40, ASTM A234 WPB",NOS.,,7307,603,T0057
