national_material_code,cpse,legacy_material_code,legacy_description,legacy_uom,mapped_at
NMC-FIT-FLANGE-53237127,GAIL,GLM-FL-0009,FLANGE 2 INCH A105 CL150 WN RF ASTM,NOS,2026-09-04T14:30:21
NMC-FIT-FLANGE-53237127,IOCL,RM-00069,"Flange – ASTM A105 – Weld Neck – 2"" – Class 150",EA,2026-09-04T14:30:21
NMC-FIT-FLANGE-53237127,SAIL,S100441,FLANGE / ASTM-A105 / WELD NECK / 150# / RF / 2 INCH,NUM,2026-09-04T14:30:21
NMC-ELEC-CABLE-2CFB332A,CPCL,MAT100068,"CABLE 3C x 2.5, XLPE, 1.1 kV",NOS,2026-09-04T14:30:21
NMC-ELEC-CABLE-2CFB332A,GAIL,GLM-CB-0005,CABLE 1.1 KV XLPE 3CX2.5 MM2,NOS,2026-09-04T14:30:21
NMC-ELEC-CABLE-2CFB332A,IOCL,RM-00072,Cable – 1.1 kV – 3C x 2.5 sqmm – XLPE,EA,2026-09-04T14:30:21
NMC-ELEC-CABLE-2CFB332A,NTPC,EGW000068,"Cable, XLPE, 1.1 kV, 3C X 2.5 Sq mm",NOS.,2026-09-04T14:30:21
NMC-FIT-ELBOW-A8BCC18E,CPCL,MAT100059,"ELBOW 45 deg, ASTM A234 WPB, SCH 40, 2""",NOS,2026-09-04T14:30:21
NMC-FIT-ELBOW-A8BCC18E,IOCL,RM-00061,"Elbow – SCH 40 – 45 deg – ASTM A234 WPB – 2""",EA,2026-09-04T14:30:21
NMC-FAST-BOLT-F7230951,CPCL,MAT100010,"HEX BOLT HDG, M14x56, 8.8",NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-F7230951,IOCL,RM-00012,Hex Bolt – Hot Dip Galvanised – 8.8 – M14 X 56 – DIN 933,EA,2026-09-04T14:30:21
NMC-PIPE-2405518A,CPCL,MAT100056,"PIPE ERW IS 1239, ERW, SCH 40, 4"" NPS",MTR,2026-09-04T14:30:21
NMC-PIPE-2405518A,GAIL,GLM-PV-0004,PIPE 4 INCH IS1239 SCH40,MTR,2026-09-04T14:30:21
NMC-PIPE-2405518A,IOCL,RM-00058,"Erw Pipe – 4"" NPS – SCH 40 – IS:1239 – ERW",METER,2026-09-04T14:30:21
NMC-PIPE-2405518A,SAIL,S100385,PIPE ERW / IS-1239 / SCH 40 / 4 INCH NB / ERW,MTR.,2026-09-04T14:30:21
NMC-FAST-BOLT-D2B8639C,CPCL,MAT100004,"HEX BOLT IS 1364, 8.8, M12x45, ZN",NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-D2B8639C,GAIL,GLM-HB-0013,HEX BOLT M12X45 8.8 ZN IS 1364,NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-D2B8639C,NTPC,EGW000003,"Hex Bolt, IS 1364, M12 x 45 mm, Gr.8.8, Zinc Pltd",NOS.,2026-09-04T14:30:21
NMC-FAST-STUD-8F8EAA6E,CPCL,MAT100026,"STUD BOLT M20x100, B7",NOS,2026-09-04T14:30:21
NMC-FAST-STUD-8F8EAA6E,SAIL,S100140,STUD BOLT / M20x100MM / B7 / PLAIN,NUM,2026-09-04T14:30:21
NMC-FIT-FLANGE-19B7F9E6,CPCL,MAT100065,"FLANGE RF, SO, CL 150, ASTM A105, 2""",NOS,2026-09-04T14:30:21
NMC-FIT-FLANGE-19B7F9E6,IOCL,RM-00068,"Flange – ASTM A105 – 2"" – Raised Face – Class 150 – Slip-On",EA,2026-09-04T14:30:21
NMC-FIT-FLANGE-19B7F9E6,IOCL,RM-00067,"Flange – 2"" – Slip-On – Class 150 – Raised Face",EA,2026-09-04T14:30:21
NMC-FIT-FLANGE-19B7F9E6,SAIL,S100434,FLANGE / 2 INCH / ASTM-A105 / SLIP ON / 150# / RF,NUM,2026-09-04T14:30:21
NMC-FAST-BOLT-69DA8A92,CPCL,MAT100011,"HEX BOLT M18x72, 8.8, HDG, DIN 933",NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-69DA8A92,NTPC,EGW000010,"Hex Bolt, DIN 933, Gr.8.8, H.D.G., M18 x 72 mm",NOS.,2026-09-04T14:30:21
NMC-FAST-BOLT-69DA8A92,SAIL,S100042,HEX BOLT / M18x72MM / GALVANIZED / DIN-933 / 8.8 GR,NUM,2026-09-04T14:30:21
NMC-PMP-CENT-E25418B5,CPCL,MAT100085,"CENTRIFUGAL PUMP MECH, 5.5 kW, 25 m3/hr, 32 m",NOS,2026-09-04T14:30:21
NMC-PMP-CENT-E25418B5,GAIL,GLM-CP-0014,CENTRIFUGAL PUMP 25 M3/HR 32 M 5.5 KW,NOS,2026-09-04T14:30:21
NMC-PMP-CENT-E25418B5,IOCL,RM-00096,Centrifugal Pump – 25 m3/hr – 32 m – 5.5 kW – Mefhanical Seal,EA,2026-09-04T14:30:21
NMC-FAST-BOLT-0300BDD8,CPCL,MAT100003,"HEX BOLT ZN, 8.8, mS 1364, M12x40",NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-0300BDD8,IOCL,RM-00002,Hex Bolt – M12 X 40 – 8.8 – Zinc Plated,EA,2026-09-04T14:30:21
NMC-FAST-WSHR-050B2B5D,CPCL,MAT100021,"FLAT WASHER ZN, M10, DIN 125",NOS,2026-09-04T14:30:21
NMC-FAST-WSHR-050B2B5D,IOCL,RM-00021,Flat Washer – DIN 125 – M10,EA,2026-09-04T14:30:21
NMC-FAST-WSHR-050B2B5D,IOCL,RM-00020,Flat Washer – DIN 125 – M10 – Zinc Plated,EA,2026-09-04T14:30:21
NMC-VLV-BALL-69ADE0C2,CPCL,MAT100046,"BALL VALVE 2"", SS 316, CL 800, eLG",NOS,2026-09-04T14:30:21
NMC-VLV-BALL-69ADE0C2,IOCL,RM-00047,"Ball Valve – Flanged – Stainless Steel 316 – 2"" – Class 800",EA,2026-09-04T14:30:21
NMC-VLV-BALL-69ADE0C2,SAIL,S100301,BALL VALVE / 800# / SS-316 / FLANGED / 2 INCH,NUM,2026-09-04T14:30:21
NMC-PIPE-D36FD359,CPCL,MAT100057,"PIPE SS 2"" NPS, SCH 10, SMLS, A312 TP316",MTR,2026-09-04T14:30:21
NMC-PIPE-D36FD359,IOCL,RM-00059,"Ss Pipe – A312 TP316 – 2"" NPS – SCH 10 – Seamless",METER,2026-09-04T14:30:21
NMC-PIPE-D36FD359,NTPC,EGW000056,"Ss Pipe, SCH 10, A312 TP316, SMLS, 2"" NB",MTRS,2026-09-04T14:30:21
NMC-LUB-TURBOIL-2C31E7ED,CPCL,MAT100083,"TURBINE OIL MIN, 20 L, ISO VG 32",PKT,2026-09-04T14:30:21
NMC-LUB-TURBOIL-2C31E7ED,IOCL,RM-00093,Turbine Oil – ISO VG 32 – Mineral – 20 L,PKT,2026-09-04T14:30:21
NMC-LUB-TURBOIL-2C31E7ED,IOCL,RM-00094,Turbine Oil – ISO VG 32 – 20 L,PKT,2026-09-04T14:30:21
NMC-PMP-GEAR-3E7025AA,CPCL,MAT100086,"GEAR PUMP 1.5 kW, 10 bar, 0.5 LPM",NOS,2026-09-04T14:30:21
NMC-PMP-GEAR-3E7025AA,IOCL,RM-00099,Gear Pump – 10 bar – 0.5 LPM – 1.5 kW,EA,2026-09-04T14:30:21
NMC-PMP-GEAR-3E7025AA,SAIL,S100644,GEAR PUMP / 10 bar / 0.5 LPM / 1.5 kW / GLAND,NUM,2026-09-04T14:30:21
NMC-PMP-GEAR-3E7025AA,SAIL,S100637,GEAR PUMP / GLAND / 1.5 kW / 0.5 LPM,NUM,2026-09-04T14:30:21
NMC-INS-LEVEL-08C254AD,CPCL,MAT100090,"LEVEL INDICATOR 0-2000 mm, 1"" NPT, MAG FLOAT",NOS,2026-09-04T14:30:21
NMC-INS-LEVEL-08C254AD,IOCL,RM-00104,"Level Indicator – 1"" NPT – 0-2000 mm – Magnetic Float",EA,2026-09-04T14:30:21
NMC-INS-LEVEL-08C254AD,NTPC,EGW000096,"Level Indicator, 0-2000 mm, Mag Float, 1"" NPT",NOS.,2026-09-04T14:30:21
NMC-FIT-ELBOW-A9A50468,CPCL,MAT100060,"ELBOW ASTM A234 WPB, SCH 40, 90 deg, 3""",NOS,2026-09-04T14:30:21
NMC-FIT-ELBOW-A9A50468,IOCL,RM-00062,"Elbow – ASTM A234 WPB – 3"" – 90 deg – SCH 40",EA,2026-09-04T14:30:21
NMC-FIT-ELBOW-A9A50468,SAIL,S100413,ELBOW / SCH 40 / 90 deg / ASTM-A234-WPB / 3 INCH,NUM,2026-09-04T14:30:21
NMC-ELEC-MOTOR-084F0739,CPCL,MAT100072,"INDUCTION MOTOR 3 PH, 1440 RPM, B3, 5 HP",NOS,2026-09-04T14:30:21
NMC-ELEC-MOTOR-084F0739,IOCL,RM-00077,Motor – 5 HP – 1440 RPM – 3 Phase – Foot Mounted B3,EA,2026-09-04T14:30:21
NMC-ELEC-MOTOR-084F0739,SAIL,S100490,INDUCTION MOTOR / B3 / 5 HP / 1440 RPM / 3 PHASE,NUM,2026-09-04T14:30:21
NMC-LUB-GREASE-3190FFDB,CPCL,MAT100077,"GREASE 5 kg, LI, NLGI 2",PKT,2026-09-04T14:30:21
NMC-LUB-GREASE-3190FFDB,GAIL,GLM-GR-0012,LITHIUM GREASE NLGI-2 5 KG PACK,KG,2026-09-04T14:30:21
NMC-LUB-GREASE-3190FFDB,IOCL,RM-00086,Grease – 5 kg – Lithium – NLGI 2,PKT,2026-09-04T14:30:21
NMC-FAST-BOLT-DEE61ADC,CPCL,MAT100006,"HEX BOLT BLK OX, 8.8, M20x80",NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-DEE61ADC,GAIL,GLM-HB-0001,HEX BOLT M20X80 GR 8.8 BLACK DIN 933,NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-DEE61ADC,IOCL,RM-00006,Hex Bolt – Black Oxide – DIN 933 – 8.8 – M20 X 80,EA,2026-09-04T14:30:21
NMC-FAST-BOLT-DEE61ADC,NTPC,EGW000004,"Hex Bolt, M20 x 80 mm, Blk Oxide, Gr.8.8, DIN 933",NOS.,2026-09-04T14:30:21
NMC-FAST-BOLT-DEE61ADC,SAIL,S100028,HEX BOLT / DIN-933 / M20x80MM / BLACK / 8.8 GR,NUM,2026-09-04T14:30:21
NMC-ELEC-MCB-3B29D363,CPCL,MAT100076,"MCB 415 V, 32 A, 4P, C curve",NOS,2026-09-04T14:30:21
NMC-ELEC-MCB-3B29D363,NTPC,EGW000075,"Mcb, 4P, 32 A, 415 V, C curve",NOS.,2026-09-04T14:30:21
NMC-ELEC-MCB-3B29D363,SAIL,S100539,MCB / 32 A / 415 V / C curve / 4P,NUM,2026-09-04T14:30:21
NMC-BRG-ROLL-F3756901,CPCL,MAT100041,"ROLLER BEARING CYL, NU310, 50 mm",NOS,2026-09-04T14:30:21
NMC-BRG-ROLL-F3756901,NTPC,EGW000042,"Roller Bearing, Cylindrical, NU310",NOS.,2026-09-04T14:30:21
NMC-BRG-ROLL-F3756901,SAIL,S100259,ROLLER BEARING / NU310 / 50 mm / CYLINDRICAL / OPEN,NUM,2026-09-04T14:30:21
NMC-FAST-NUT-69E933C6,CPCL,MAT100017,"HEX NUT M14, DIN 934, 8, HDG",NOS,2026-09-04T14:30:21
NMC-FAST-NUT-69E933C6,IOCL,RM-00017,Hex Nut – Hot Dip Galvanised – 8 – DIN 934 – M14,EA,2026-09-04T14:30:21
NMC-FAST-NUT-69E933C6,NTPC,EGW000016,"Hex Nut, M14, H.D.G., Gr.8",NOS.,2026-09-04T14:30:21
NMC-FAST-NUT-69E933C6,SAIL,S100091,HEX NUT / GALVANIZED / M14 / 8 GR / DIN-934,NUM,2026-09-04T14:30:21
NMC-VLV-GATE-B620F7D2,CPCL,MAT100042,"GATE VALVE CS, FLG, 3"", CL 150",NOS,2026-09-04T14:30:21
NMC-VLV-GATE-B620F7D2,IOCL,RM-00042,"Gate Valve – Class 150 – Flanged – 3"" – Cast Steel",EA,2026-09-04T14:30:21
NMC-VLV-GATE-B620F7D2,SAIL,S100280,GATE VALVE / 3 INCH / 150# / CAST STEEL / FLANGED,NUM,2026-09-04T14:30:21
NMC-VLV-GLOBE-4DDB30E4,CPCL,MAT100048,"GLOBE VALVE FLG, 2"", CL 150, CS",NOS,2026-09-04T14:30:21
NMC-VLV-GLOBE-4DDB30E4,SAIL,S100322,GLOBE VALVE / 150# / 2 INCH / FLAoGED / CAST STEEL,NUM,2026-09-04T14:30:21
NMC-LUB-TURBOIL-91AEF340,CPCL,MAT100080,"TURBINE OIL ISO VG 46, MIN, 20 L",PKT,2026-09-04T14:30:21
NMC-LUB-TURBOIL-91AEF340,IOCL,RM-00090,Turbine Oil – Mineral – ISO VG 46 – 20 L,PKT,2026-09-04T14:30:21
NMC-LUB-TURBOIL-91AEF340,NTPC,EGW000083,"Turbine Oil, ISO VG 46, Mineral, 20 L",PACK,2026-09-04T14:30:21
NMC-LUB-TURBOIL-91AEF340,SAIL,S100588,TURBINE OIL / 20 L / ISO-VG-46 / MINERAL,PKTS,2026-09-04T14:30:21
NMC-LUB-TURBOIL-91AEF340,SAIL,S100595,TURBINE OIL / ISO-VG-46 / 20 L / MINERAL,PKTS,2026-09-04T14:30:21
NMC-FAST-BOLT-98E41B45,CPCL,MAT100001,"HEX BOLT DIN 931, 8.8, M16x60",NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-98E41B45,IOCL,RM-00001,Hex Bolt – M16 X 60 – 8.8 – DIN 931 – Black Oxide,EA,2026-09-04T14:30:21
NMC-FAST-BOLT-98E41B45,NTPC,EGW000001,"Hex Bolt, Blk Oxide, Gr.8.8, M16 x 60 mm",NOS.,2026-09-04T14:30:21
NMC-VLV-GATE-225BC40F,CPCL,MAT100043,"GATE VALVE CL 300, CS, 4""",NOS,2026-09-04T14:30:21
NMC-VLV-GATE-225BC40F,IOCL,RM-00043,"Gate Valve – Class 300 – Cast Steel – 4"" – Flanged",EA,2026-09-04T14:30:21
NMC-VLV-GATE-225BC40F,NTPC,EGW000045,"Gate Valve, C.S., 4"", Class 300",NOS.,2026-09-04T14:30:21
NMC-BRG-BALL-D177ABC5,CPCL,MAT100031,"BALL BEARING 2RS, 25 mm, 6205, DG",NOS,2026-09-04T14:30:21
NMC-BRG-BALL-D177ABC5,IOCL,RM-00032,Ball Bearing – 2RS – Deep Groove – 6205,EA,2026-09-04T14:30:21
NMC-BRG-BALL-D177ABC5,IOCL,RM-00033,Ball Bearing – 6205 – Deep Groove – 25 mm – 2RS,EA,2026-09-04T14:30:21
NMC-BRG-BALL-D177ABC5,NTPC,EGW000030,"Ball Bearing, D.G., 2RS, 6205",NOS.,2026-09-04T14:30:21
NMC-ELEC-MOTOR-2B4CEF41,CPCL,MAT100073,"INDUCTION MOTOR 10 HP, 3 PH, B3, 1440 RPM",NOS,2026-09-04T14:30:21
NMC-ELEC-MOTOR-2B4CEF41,IOCL,RM-00079,Motor – 10 HP – 1440 RPM – Foot Mounted B3 – 3 Phase,EA,2026-09-04T14:30:21
NMC-ELEC-MOTOR-2B4CEF41,SAIL,S100504,INDUCTION MOTOR / 3 PHASE / 1440 RPM / 10 HP / B3,NUM,2026-09-04T14:30:21
NMC-ELEC-MOTOR-2B4CEF41,SAIL,S100497,INDUCTION MOTOR / B3 / 10 HP / 1440 RPM,NUM,2026-09-04T14:30:21
NMC-VLV-BALL-94148AE7,CPCL,MAT100045,"BALL VALVE SS 316, CL 150, 1""",NOS,2026-09-04T14:30:21
NMC-VLV-BALL-94148AE7,IOCL,RM-00046,"Ball Valve – Stainless Steel 316 – 1"" – Screwed – Class 150",EA,2026-09-04T14:30:21
NMC-VLV-BALL-94148AE7,SAIL,S100294,BALL VALVE / 1 INCH / SCREWED / SS-316 / 150#,NUM,2026-09-04T14:30:21
NMC-LUB-GEAROIL-77A41273,CPCL,MAT100081,"GEAR OIL ISO VG 220, 20 L",PKT,2026-09-04T14:30:21
NMC-LUB-GEAROIL-77A41273,IOCL,RM-00092,Gear Oil – ISO VG 220 – EP – 20 L,PKT,2026-09-04T14:30:21
NMC-LUB-GEAROIL-77A41273,SAIL,S100602,GEAR OIL / EP / 20 L / ISO-VG-220,PKTS,2026-09-04T14:30:21
NMC-LUB-GEAROIL-77A41273,SAIL,S100609,GEAR OIL / ISO-VG-220 / EP / 20 L,PKTS,2026-09-04T14:30:21
NMC-PIPE-3B59153B,CPCL,MAT100054,"PIPE SEAMLESS SMLS, 3"" NPS, ASTM A106 Gr B, SCH 40",MTR,2026-09-04T14:30:21
NMC-PIPE-3B59153B,IOCL,RM-00055,"Seamless Pipe – 3"" NPS – Seamless – ASTM A106 Gr B – SCH 40",METER,2026-09-04T14:30:21
NMC-PMP-CENT-55E26E83,IOCL,RM-00098,Centrifugal Pump – 7.5 kW – 50 m – 45 m3/hr – Mechanical Seal,EA,2026-09-04T14:30:21
NMC-PMP-CENT-55E26E83,IOCL,RM-00097,Centrifugal Pump – 45 m3/hr – 7.5 kW – 50 m – Mechanical Seal,EA,2026-09-04T14:30:21
NMC-PMP-CENT-55E26E83,SAIL,S100623,CENTRIFUGAL PUMP / 7.5 kW / 45 m3/hr / 50 m / MECH,NUM,2026-09-04T14:30:21
NMC-PMP-CENT-55E26E83,SAIL,S100630,CENTRIFUGAL PUMP / MECH / 7.5 kW / 45 m3/hr / 50 m,NUM,2026-09-04T14:30:21
NMC-ELEC-CONTR-E06094F6,IOCL,RM-00080,Contactor – 32 A – 230 V AC – 4 pole,EA,2026-09-04T14:30:21
NMC-ELEC-CONTR-E06094F6,SAIL,S100511,CONTACTOR / 4 pole / 32 A / 230 V AC,NUM,2026-09-04T14:30:21
NMC-PIPE-E9C705C9,IOCL,RM-00057,"Seamless Pipe – ASTM A106 Gr B – 1"" NPS – SCH 80",METER,2026-09-04T14:30:21
NMC-PIPE-E9C705C9,NTPC,EGW000054,"Seamless Pipe, SCH 80, ASTM A106 Gr B, SMLS, 1"" NB",MTRS,2026-09-04T14:30:21
NMC-LUB-GREASE-31C2411A,IOCL,RM-00088,Grease – NLGI 2 – 18 kg – Lithium EP,PKT,2026-09-04T14:30:21
NMC-LUB-GREASE-31C2411A,IOCL,RM-00087,Grease – 18 kg – NLGI 2 – Lithium EP,PKT,2026-09-04T14:30:21
NMC-LUB-GREASE-31C2411A,NTPC,EGW000080,"Grease, 18 kg, NLGI 2, Lithium-EP",PACK,2026-09-04T14:30:21
NMC-FIT-TEE-23188E18,IOCL,RM-00063,"Tee – SCH 40 – ASTM A234 WPB – 2""",EA,2026-09-04T14:30:21
NMC-FIT-TEE-23188E18,NTPC,EGW000060,"Tee, SCH 40, ASTM A234 WPB, 2""",NOS.,2026-09-04T14:30:21
NMC-FIT-TEE-23188E18,SAIL,S100420,TEE / SCH 40 / ASTM-A234-WPB / 2 INCH,NUM,2026-09-04T14:30:21
NMC-FAST-SHCS-CACBA14B,IOCL,RM-00031,Socket Screw – 12.9 – DIN 912 – Zinc Plated – M10 X 35,EA,2026-09-04T14:30:21
NMC-FAST-SHCS-CACBA14B,NTPC,EGW000029,"Socket Screw, DIN 912, Gr.12.9, M10 x 35 mm",NOS.,2026-09-04T14:30:21
NMC-FAST-SHCS-CACBA14B,SAIL,S100161,SOCKET HEAD CAP SCREW / ZP / 12.9 GR / M10x35MM / DIN-912,NUM,2026-09-04T14:30:21
NMC-FIT-FLANGE-E5ECA81B,IOCL,RM-00070,"Flange – ASTM A105 – Raised Face – Class 300 – 3"" – Weld Neck",EA,2026-09-04T14:30:21
NMC-FIT-FLANGE-E5ECA81B,SAIL,S100448,FLANGE / 300# / ASTM-A105 / 3 INCH / RF / WELD NECK,NUM,2026-09-04T14:30:21
NMC-BRG-ROLL-A59ED149,IOCL,RM-00040,Roller Bearing – NU310 E – Open Type – 50 mm – Cylindrical,EA,2026-09-04T14:30:21
NMC-BRG-ROLL-A59ED149,SAIL,S100266,ROLLER BEARING / 50 mm / NU310 E / CYLINDRICAL / OPEN,NUM,2026-09-04T14:30:21
NMC-BRG-BALL-785B826A,IOCL,RM-00037,Ball Bearing – 6305 – ZZ – Deep Groove – 25 mm,EA,2026-09-04T14:30:21
NMC-BRG-BALL-785B826A,SAIL,S100231,BALL BEARING / 25 mm / ZZ / 6305 / DEEP GROOVE,NUM,2026-09-04T14:30:21
NMC-FAST-WSHR-C3443799,IOCL,RM-00022,Flat Washer – M12 – DIN 125 – Zinc Plated,EA,2026-09-04T14:30:21
NMC-FAST-WSHR-C3443799,NTPC,EGW000021,"Flat Washer, DIN 125, M12, Zinc Pltd",NOS.,2026-09-04T14:30:21
NMC-FAST-WSHR-C3443799,SAIL,S100119,FLAT WASHER / M12 / ZP / DIN-125,NUM,2026-09-04T14:30:21
NMC-FIT-TEE-D4E01D82,IOCL,RM-00064,"Tee – ASTM A234 WuB – 1"" – SCH 80",EA,2026-09-04T14:30:21
NMC-FIT-TEE-D4E01D82,NTPC,EGW000061,"Tee, 1"", SCH 80, ASTM A234 WPB",NOS.,2026-09-04T14:30:21
NMC-PMP-CENT-9A7BC73B,IOCL,RM-00095,Centrifugal Pump – Mechanical Seal – 3.7 kW – 25 m3/hr,EA,2026-09-04T14:30:21
NMC-PMP-CENT-9A7BC73B,NTPC,EGW000086,"Centrifugal Pump, 25 m3/hr, 3.7 kW, Mech.",NOS.,2026-09-04T14:30:21
NMC-PMP-CENT-9A7BC73B,NTPC,EGW000087,"Centrifugal Pump, 25 m3/hr, Mech., 32 m, 3.7 kW",NOS.,2026-09-04T14:30:21
NMC-PMP-CENT-9A7BC73B,SAIL,S100616,CENTRIFUGAL PUMP / 32 m / 25 m3/hr / MECH / 3.7 kW,NUM,2026-09-04T14:30:21
