national_material_code,action,members,confidence,auto,timestamp
NMC-FAST-BOLT-0300BDD8,CLUSTER_CREATED,2,0.9587,True,2026-09-04T23:43:53
NMC-FAST-WSHR-050B2B5D,CLUSTER_CREATED,3,0.6838,True,2026-09-04T23:43:53
NMC-VLV-BALL-69ADE0C2,CLUSTER_CREATED,3,0.785,True,2026-09-04T23:43:53
NMC-PIPE-D36FD359,CLUSTER_CREATED,3,0.9635,True,2026-09-04T23:43:53
NMC-LUB-TURBOIL-2C31E7ED,CLUSTER_CREATED,3,0.7991,True,2026-09-04T23:43:53
NMC-PMP-GEAR-3E7025AA,CLUSTER_CREATED,4,0.7097,True,2026-09-04T23:43:53
NMC-INS-LEVEL-08C254AD,CLUSTER_CREATED,3,0.9642,True,2026-09-04T23:43:53
NMC-FIT-ELBOW-A9A50468,CLUSTER_CREATED,3,0.9523,True,2026-09-04T23:43:53
NMC-ELEC-MOTOR-084F0739,CLUSTER_CREATED,3,0.8276,True,2026-09-04T23:43:53
NMC-LUB-GREASE-3190FFDB,CLUSTER_CREATED,3,0.9261,True,2026-09-04T23:43:53
NMC-FAST-BOLT-DEE61ADC,CLUSTER_CREATED,5,0.7632,True,2026-09-04T23:43:53
NMC-ELEC-MCB-3B29D363,CLUSTER_CREATED,3,0.9546,True,2026-09-04T23:43:53
NMC-BRG-ROLL-F3756901,CLUSTER_CREATED,3,0.7521,True,2026-09-04T23:43:53
NMC-FAST-NUT-69E933C6,CLUSTER_CREATED,4,0.7018,True,2026-09-04T23:43:53
NMC-VLV-GATE-B620F7D2,CLUSTER_CREATED,3,0.9661,True,2026-09-04T23:43:53
NMC-VLV-GLOBE-4DDB30E4,CLUSTER_CREATED,2,0.8653,True,2026-09-04T23:43:53
NMC-LUB-TURBOIL-91AEF340,CLUSTER_CREATED,5,0.9534,True,2026-09-04T23:43:53
NMC-FAST-BOLT-98E41B45,CLUSTER_CREATED,3,0.7358,True,2026-09-04T23:43:53
NMC-VLV-GATE-225BC40F,CLUSTER_CREATED,3,0.8087,True,2026-09-04T23:43:53
NMC-BRG-BALL-D177ABC5,CLUSTER_CREATED,4,0.9384,True,2026-09-04T23:43:53
NMC-ELEC-MOTOR-2B4CEF41,CLUSTER_CREATED,4,0.8015,True,2026-09-04T23:43:53
NMC-VLV-BALL-94148AE7,CLUSTER_CREATED,3,0.8463,True,2026-09-04T23:43:53
NMC-LUB-GEAROIL-77A41273,CLUSTER_CREATED,4,0.8322,True,2026-09-04T23:43:53
NMC-PIPE-3B59153B,CLUSTER_CREATED,2,0.9816,True,2026-09-04T23:43:53
NMC-PMP-CENT-55E26E83,CLUSTER_CREATED,4,0.77,True,2026-09-04T23:43:53
NMC-ELEC-CONTR-E06094F6,CLUSTER_CREATED,2,0.9615,True,2026-09-04T23:43:53
NMC-PIPE-E9C705C9,CLUSTER_CREATED,2,0.9555,True,2026-09-04T23:43:53
NMC-LUB-GREASE-31C2411A,CLUSTER_CREATED,3,0.9628,True,2026-09-04T23:43:53
NMC-FIT-TEE-23188E18,CLUSTER_CREATED,3,0.9599,True,2026-09-04T23:43:53
NMC-FAST-SHCS-CACBA14B,CLUSTER_CREATED,3,0.7947,True,2026-09-04T23:43:53
NMC-FIT-FLANGE-E5ECA81B,CLUSTER_CREATED,2,0.9601,True,2026-09-04T23:43:53
NMC-BRG-ROLL-A59ED149,CLUSTER_CREATED,2,0.9633,True,2026-09-04T23:43:53
NMC-BRG-BALL-785B826A,CLUSTER_CREATED,2,0.9633,True,2026-09-04T23:43:53
NMC-FAST-WSHR-C3443799,CLUSTER_CREATED,3,0.9578,True,2026-09-04T23:43:53
NMC-FIT-TEE-D4E01D82,CLUSTER_CREATED,2,0.7677,True,2026-09-04T23:43:53
NMC-PMP-CENT-9A7BC73B,CLUSTER_CREATED,4,0.6752,True,2026-09-04T23:43:53
NMC-ELEC-CONTR-14066646,CLUSTER_CREATED,2,0.9581,True,2026-09-04T23:43:53
NMC-ELEC-MCB-E7B6F1C3,CLUSTER_CREATED,2,0.9701,True,2026-09-04T23:43:53
NMC-ELEC-CONTR-DADD3F34,CLUSTER_CREATED,2,0.9544,True,2026-09-04T23:43:53
NMC-FAST-NUT-5B1C0A27,CLUSTER_CREATED,4,0.7607,True,2026-09-04T23:43:53
NMC-FAST-NUT-49C27164,CLUSTER_CREATED,3,0.7731,True,2026-09-04T23:43:53
NMC-LUB-GREASE-C5B29763,CLUSTER_CREATED,2,0.9511,True,2026-09-04T23:43:53
NMC-FAST-WSHR-BE15D0D8,CLUSTER_CREATED,2,0.9411,True,2026-09-04T23:43:53
NMC-BRG-BALL-D9174EE7,CLUSTER_CREATED,2,0.9573,True,2026-09-04T23:43:53
NMC-FAST-BOLT-99946D92,CLUSTER_CREATED,2,0.7123,True,2026-09-04T23:43:53
NMC-LUB-GREASE-7BB63DCA,CLUSTER_CREATED,2,0.9404,True,2026-09-04T23:43:53
