a_cpse,a_code,a_desc,b_cpse,b_code,b_desc,sim,reason
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100322,GLOBE VALVE / 150# / 2 INCH / FLAoGED / CAST STEEL,0.6411,"veto:inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100315,GLOBE VALVE / FORGED STEEL / SOCKET WELD / 800#,0.4703,"veto:class,end,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100336,CHECK VALVE / 150# / CASr STEEL / 3 INCH / FLANGED,0.634,"veto:end,inch,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100350,SAFETY VALVE / SCREWED / 1 INCHx1.5 INCH / 150#,0.6254,"veto:end,inch,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100329,CHECK VALVE / CAST IRON / FLANGED,0.5921,"veto:end,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100308,GLOBE VALVE / FORGED STEEL / SOCKET WELD / 1.5 INCH / 800#,0.5099,"veto:class,end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100280,GATE VALVE / 3 INCH / 150# / CAST STEEL / FLANGED,0.6202,"veto:end,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",0.7832,veto:type
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",0.4844,"veto:end,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",CPCL,MAT100046,"BALL VALVE 2"", SS 316, CL 800, eLG",0.6272,"veto:inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",CPCL,MAT100051,"SAFETY VALVE BRZ, CL 150, SCR",0.5343,"veto:class,end,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",CPCL,MAT100042,"GATE VALVE CS, FLG, 3"", CL 150",0.7372,"veto:class,end,inch,material"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",CPCL,MAT100048,"GLOBE VALVE FLG, 2"", CL 150, CS",0.4956,"veto:class,end,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",CPCL,MAT100043,"GATE VALVE CL 300, CS, 4""",0.7825,"veto:class,inch,material"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",CPCL,MAT100045,"BALL VALVE SS 316, CL 150, 1""",0.5908,"veto:class,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",GAIL,GLM-BF-0002,BUTTERFLY VALVE 6 INCH CI CLASS 150 WAFER TYPE,0.5903,"veto:class,end,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",IOCL,RM-00051,"Check Valve – Flanged – Cast Iron – Class 150 – 2""",0.5597,"veto:class,end,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",IOCL,RM-00049,"Globe Valve – Class 800 – Socket Weld – Forged Steel – 2""",0.7152,"veto:inch,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",IOCL,RM-00053,Safety Valve – Screwed – Bronze – Class 150,0.5088,"veto:class,end,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",IOCL,RM-00047,"Ball Valve – Flanged – Stainless Steel 316 – 2"" – Class 800",0.5064,"veto:end,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",IOCL,RM-00046,"Ball Valve – Stainless Steel 316 – 1"" – Screwed – Class 150",0.5075,"veto:class,end,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",IOCL,RM-00048,"Globe Valve – Forged Steel – Socket Weld – Class 800 – 1.5""",0.7258,veto:type
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",IOCL,RM-00042,"Gate Valve – Class 150 – Flanged – 3"" – Cast Steel",0.7037,"veto:class,end,inch,material"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",IOCL,RM-00052,"Check Valve – 3"" – Class 150 – Cast Steel",0.588,"veto:class,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",IOCL,RM-00041,"Gate Valve – Class 150 – 2""",0.7545,"veto:class,inch"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",IOCL,RM-00043,"Gate Valve – Class 300 – Cast Steel – 4"" – Flanged",0.6888,"veto:class,end,inch,material"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",IOCL,RM-00050,"Globe Valve – 2"" – Class 150 – Flanged",0.4324,"veto:class,end,inch,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",NTPC,EGW000047,"Ball Valve, S.S. 316, Flanged",0.4347,"veto:end,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",NTPC,EGW000049,"Globe Valve, mlass 150, 2"", C.S.",0.4554,"veto:inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",NTPC,EGW000043,"Gate Valve, Flanged",0.5648,veto:end
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",NTPC,EGW000046,"Ball Valve, S.S. 316, 1"", Screwed",0.4518,"veto:end,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",NTPC,EGW000050,"Butterfly Valve, Wafer, C.I., 6""",0.5698,"veto:end,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",NTPC,EGW000045,"Gate Valve, C.S., 4"", Class 300",0.7817,"veto:class,inch,material"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100273,GATE VALVE / 2 INCH / CAST STEEL / FLANGED / 150#,0.7274,"veto:class,end,inch,material"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100343,BUTTERFLY VALVE / 150# / 6 INCH,0.5876,"veto:class,inch,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100357,SAFETY VALVE / 1 INCHx1.5 INCH / 150#,0.6072,"veto:class,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100301,BALL VALVE / 800# / SS-316 / FLANGED / 2 INCH,0.5772,"veto:end,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100294,BALL VALVE / 1 INCH / SCREWED / SS-316 / 150#,0.5381,"veto:class,end,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100322,GLOBE VALVE / 150# / 2 INCH / FLAoGED / CAST STEEL,0.5159,"veto:class,inch,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100315,GLOBE VALVE / FORGED STEEL / SOCKET WELD / 800#,0.7186,veto:type
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100336,CHECK VALVE / 150# / CASr STEEL / 3 INCH / FLANGED,0.583,"veto:class,end,inch,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100350,SAFETY VALVE / SCREWED / 1 INCHx1.5 INCH / 150#,0.5732,"veto:class,end,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100329,CHECK VALVE / CAST IRON / FLANGED,0.4169,"veto:end,material,type"
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100308,GLOBE VALVE / FORGED STEEL / SOCKET WELD / 1.5 INCH / 800#,0.7474,veto:type
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",SAIL,S100280,GATE VALVE / 3 INCH / 150# / CAST STEEL / FLANGED,0.7061,"veto:class,end,inch,material"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",0.5082,"veto:end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",CPCL,MAT100046,"BALL VALVE 2"", SS 316, CL 800, eLG",0.6202,"veto:inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",CPCL,MAT100051,"SAFETY VALVE BRZ, CL 150, SCR",0.4944,"veto:class,end,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",CPCL,MAT100042,"GATE VALVE CS, FLG, 3"", CL 150",0.5529,"veto:class,end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",CPCL,MAT100048,"GLOBE VALVE FLG, 2"", CL 150, CS",0.7112,"veto:class,end,inch,material"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",CPCL,MAT100043,"GATE VALVE CL 300, CS, 4""",0.5232,"veto:class,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",CPCL,MAT100045,"BALL VALVE SS 316, CL 150, 1""",0.6036,"veto:class,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",GAIL,GLM-BF-0002,BUTTERFLY VALVE 6 INCH CI CLASS 150 WAFER TYPE,0.5357,"veto:class,end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",GAIL,GLM-GV-0007,GATE VALVE DN50 FORGED STEEL CLASS 800 SOCKET WELD,0.6999,veto:type
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00044,"Gate Valve – Forged Steel – 1.5"" – Socket Weld",0.7236,veto:type
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00051,"Check Valve – Flanged – Cast Iron – Class 150 – 2""",0.5461,"veto:class,end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00049,"Globe Valve – Class 800 – Socket Weld – Forged Steel – 2""",0.9465,veto:inch
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00053,Safety Valve – Screwed – Bronze – Class 150,0.4721,"veto:class,end,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00047,"Ball Valve – Flanged – Stainless Steel 316 – 2"" – Class 800",0.5603,"veto:end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00046,"Ball Valve – Stainless Steel 316 – 1"" – Screwed – Class 150",0.5433,"veto:class,end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00042,"Gate Valve – Class 150 – Flanged – 3"" – Cast Steel",0.5222,"veto:class,end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00052,"Check Valve – 3"" – Class 150 – Cast Steel",0.5539,"veto:class,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00041,"Gate Valve – Class 150 – 2""",0.4538,"veto:class,inch,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00043,"Gate Valve – Class 300 – Cast Steel – 4"" – Flanged",0.5137,"veto:class,end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00045,"Gate Valve – Forged Steel – Socket Weld – 1.5"" – Class 800",0.7698,veto:type
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",IOCL,RM-00050,"Globe Valve – 2"" – Class 150 – Flanged",0.6517,"veto:class,end,inch"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",NTPC,EGW000047,"Ball Valve, S.S. 316, Flanged",0.5029,"veto:end,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",NTPC,EGW000049,"Globe Valve, mlass 150, 2"", C.S.",0.6496,"veto:inch,material"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",NTPC,EGW000046,"Ball Valve, S.S. 316, 1"", Screwed",0.5096,"veto:end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",NTPC,EGW000050,"Butterfly Valve, Wafer, C.I., 6""",0.5208,"veto:end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",NTPC,EGW000045,"Gate Valve, C.S., 4"", Class 300",0.5378,"veto:class,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",SAIL,S100273,GATE VALVE / 2 INCH / CAST STEEL / FLANGED / 150#,0.4917,"veto:class,end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",SAIL,S100287,GATE VALVE / SOCKET WELD / FORGED STEEL / 1.5 INCH / 800#,0.7509,veto:type
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",SAIL,S100343,BUTTERFLY VALVE / 150# / 6 INCH,0.5349,"veto:class,inch,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",SAIL,S100357,SAFETY VALVE / 1 INCHx1.5 INCH / 150#,0.5066,"veto:class,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",SAIL,S100301,BALL VALVE / 800# / SS-316 / FLANGED / 2 INCH,0.6116,"veto:end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",SAIL,S100294,BALL VALVE / 1 INCH / SCREWED / SS-316 / 150#,0.5687,"veto:class,end,inch,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",SAIL,S100322,GLOBE VALVE / 150# / 2 INCH / FLAoGED / CAST STEEL,0.7346,"veto:class,inch,material"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",SAIL,S100336,CHECK VALVE / 150# / CASr STEEL / 3 INCH / FLANGED,0.5385,"veto:class,end,inch,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",SAIL,S100350,SAFETY VALVE / SCREWED / 1 INCHx1.5 INCH / 150#,0.4931,"veto:class,end,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",SAIL,S100329,CHECK VALVE / CAST IRON / FLANGED,0.4268,"veto:end,material,type"
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",SAIL,S100280,GATE VALVE / 3 INCH / 150# / CAST STEEL / FLANGED,0.51,"veto:class,end,inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",CPCL,MAT100046,"BALL VALVE 2"", SS 316, CL 800, eLG",0.529,"veto:inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",CPCL,MAT100051,"SAFETY VALVE BRZ, CL 150, SCR",0.5132,"veto:end,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",CPCL,MAT100042,"GATE VALVE CS, FLG, 3"", CL 150",0.7629,veto:type
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",CPCL,MAT100048,"GLOBE VALVE FLG, 2"", CL 150, CS",0.767,"veto:inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",CPCL,MAT100043,"GATE VALVE CL 300, CS, 4""",0.6367,"veto:inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",CPCL,MAT100045,"BALL VALVE SS 316, CL 150, 1""",0.5526,"veto:inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",GAIL,GLM-BF-0002,BUTTERFLY VALVE 6 INCH CI CLASS 150 WAFER TYPE,0.6023,"veto:end,inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00044,"Gate Valve – Forged Steel – 1.5"" – Socket Weld",0.4659,"veto:end,inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00051,"Check Valve – Flanged – Cast Iron – Class 150 – 2""",0.8382,"veto:inch,material"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00049,"Globe Valve – Class 800 – Socket Weld – Forged Steel – 2""",0.4798,"veto:end,inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00053,Safety Valve – Screwed – Bronze – Class 150,0.4932,"veto:end,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00047,"Ball Valve – Flanged – Stainless Steel 316 – 2"" – Class 800",0.6471,"veto:inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00046,"Ball Valve – Stainless Steel 316 – 1"" – Screwed – Class 150",0.5227,"veto:end,inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00048,"Globe Valve – Forged Steel – Socket Weld – Class 800 – 1.5""",0.4628,"veto:end,inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00042,"Gate Valve – Class 150 – Flanged – 3"" – Cast Steel",0.7777,veto:type
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00041,"Gate Valve – Class 150 – 2""",0.4888,"veto:inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00043,"Gate Valve – Class 300 – Cast Steel – 4"" – Flanged",0.7777,"veto:inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00045,"Gate Valve – Forged Steel – Socket Weld – 1.5"" – Class 800",0.4263,"veto:end,inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",IOCL,RM-00050,"Globe Valve – 2"" – Class 150 – Flanged",0.6763,"veto:inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",NTPC,EGW000047,"Ball Valve, S.S. 316, Flanged",0.6788,"veto:material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",NTPC,EGW000049,"Globe Valve, mlass 150, 2"", C.S.",0.6236,"veto:inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",NTPC,EGW000043,"Gate Valve, Flanged",0.6835,veto:type
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",NTPC,EGW000046,"Ball Valve, S.S. 316, 1"", Screwed",0.5478,"veto:end,inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",NTPC,EGW000050,"Butterfly Valve, Wafer, C.I., 6""",0.6263,"veto:end,inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",NTPC,EGW000045,"Gate Valve, C.S., 4"", Class 300",0.6325,"veto:inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",SAIL,S100273,GATE VALVE / 2 INCH / CAST STEEL / FLANGED / 150#,0.6779,"veto:inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",SAIL,S100287,GATE VALVE / SOCKET WELD / FORGED STEEL / 1.5 INCH / 800#,0.4405,"veto:end,inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",SAIL,S100343,BUTTERFLY VALVE / 150# / 6 INCH,0.5537,"veto:inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",SAIL,S100357,SAFETY VALVE / 1 INCHx1.5 INCH / 150#,0.5124,"veto:inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",SAIL,S100301,BALL VALVE / 800# / SS-316 / FLANGED / 2 INCH,0.6667,"veto:inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",SAIL,S100294,BALL VALVE / 1 INCH / SCREWED / SS-316 / 150#,0.5456,"veto:end,inch,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",SAIL,S100322,GLOBE VALVE / 150# / 2 INCH / FLAoGED / CAST STEEL,0.6781,"veto:inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",SAIL,S100315,GLOBE VALVE / FORGED STEEL / SOCKET WELD / 800#,0.4446,"veto:end,material,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",SAIL,S100350,SAFETY VALVE / SCREWED / 1 INCHx1.5 INCH / 150#,0.5214,"veto:end,inch,type"
CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",SAIL,S100329,CHECK VALVE / CAST IRON / FLANGED,0.8212,veto:material
