kind,reason,cpse,material_code,description,top_candidates,suggested_nmc,decision
record,missing-identity-attribute,SAIL,S100357,SAFETY VALVE / 1 INCHx1.5 INCH / 150#,SAIL/S100350 (sim 0.96): SAFETY VALVE / SCREWED / 1 INCHx1.5 INCH / 150#,NMC-VLV-SAFETY-74D22385,
record,missing-identity-attribute,IOCL,RM-00004,Hex Bolt – M10 X 40 – DIN 933,"SAIL/S100021 (sim 0.94): HEX BOLT / DIN-933 / 10.9 GR / M10x40MM || IOCL/RM-00005 (sim 0.83): Hex Bolt – 8.8 – Hot Dip Galvanised – DIN 933 – M10 X 40 || CPCL/MAT100005 (sim 0.75): HEX BOLT 8.8, HDG, DIN 933, M10x40",NMC-FAST-BOLT-0DC523CF,
record,missing-identity-attribute,CPCL,MAT100018,HEX NUT 8,"IOCL/RM-00014 (sim 0.76): Hex Nut – Zinc Plated – 8 || CPCL/MAT100013 (sim 0.73): HEX NUT DIN 934, 8, M16 || CPCL/MAT100015 (sim 0.72): HEX NUT A4-70, PLb, M10",NMC-FAST-NUT-82059210,
record,missing-identity-attribute,CPCL,MAT100019,"HEX NUT DIN 934, 8, HDG","CPCL/MAT100017 (sim 0.97): HEX NUT M14, DIN 934, 8, HDG || NTPC/EGW000017 (sim 0.95): Hex Nut, M14, H.D.G., DIN 934 || IOCL/RM-00018 (sim 0.94): Hex Nut – Hot Dip Galvanised – 8 – M20 – DIN 934",NMC-FAST-NUT-69E933C6,
record,missing-identity-attribute,GAIL,GLM-HN-0006,HEX NUT M16 ZINC DIN 934,"IOCL/RM-00013 (sim 0.95): Hex Nut – Zinc Plated – DIN 934 – 8 – M16 || NTPC/EGW000012 (sim 0.93): Hex Nut, M16, Zinc Pltd, DIN 934 || SAIL/S100056 (sim 0.90): HEX NUT / M16 / ZP / 8 GR / DIN-934",NMC-FAST-NUT-36F25EB4,
record,missing-identity-attribute,IOCL,RM-00014,Hex Nut – Zinc Plated – 8,"IOCL/RM-00013 (sim 0.83): Hex Nut – Zinc Plated – DIN 934 – 8 – M16 || NTPC/EGW000012 (sim 0.82): Hex Nut, M16, Zinc Pltd, DIN 934 || SAIL/S100056 (sim 0.80): HEX NUT / M16 / ZP / 8 GR / DIN-934",NMC-FAST-NUT-36F25EB4,
record,missing-identity-attribute,NTPC,EGW000012,"Hex Nut, M16, Zinc Pltd, DIN 934","SAIL/S100056 (sim 0.95): HEX NUT / M16 / ZP / 8 GR / DIN-934 || IOCL/RM-00013 (sim 0.94): Hex Nut – Zinc Plated – DIN 934 – 8 – M16 || CPCL/MAT100013 (sim 0.85): HEX NUT DIN 934, 8, M16",NMC-FAST-NUT-36F25EB4,
record,missing-identity-attribute,IOCL,RM-00024,Flat Washer – DIN 125 – Zinc Plated,IOCL/RM-00023 (sim 1.00): Flat Washer – DIN 125 – Zinc Plated || IOCL/RM-00025 (sim 1.00): Flat Washer – DIN 125 – Zinc Plated || IOCL/RM-00020 (sim 0.97): Flat Washer – DIN 125 – M10 – Zinc Plated,PROVISIONAL-FLAT-WASHER-IOCL-RM-00023,
record,missing-identity-attribute,IOCL,RM-00025,Flat Washer – DIN 125 – Zinc Plated,IOCL/RM-00023 (sim 1.00): Flat Washer – DIN 125 – Zinc Plated || IOCL/RM-00020 (sim 0.97): Flat Washer – DIN 125 – M10 – Zinc Plated || IOCL/RM-00022 (sim 0.97): Flat Washer – M12 – DIN 125 – Zinc Plated,PROVISIONAL-FLAT-WASHER-IOCL-RM-00023,
record,missing-identity-attribute,IOCL,RM-00023,Flat Washer – DIN 125 – Zinc Plated,IOCL/RM-00020 (sim 0.97): Flat Washer – DIN 125 – M10 – Zinc Plated || IOCL/RM-00022 (sim 0.97): Flat Washer – M12 – DIN 125 – Zinc Plated || IOCL/RM-00019 (sim 0.97): Flat Washer – M16 – DIN 125 – Zinc Plated,NMC-FAST-WSHR-050B2B5D,
record,missing-identity-attribute,CPCL,MAT100029,"STUD BOLT B7, PLN, ASTM A193","NTPC/EGW000026 (sim 0.97): Stud Bolt, B-7, ASTM A193 || CPCL/MAT100025 (sim 0.96): STUD BOLT M20x100, PLN, B7, ASTM A193 || CPCL/MAT100028 (sim 0.96): STUD BOLT ASTM A193, PLN",NMC-FAST-STUD-FFF513E2,
record,missing-identity-attribute,IOCL,RM-00030,Socket Screw – Zinc Plated – 12.9,"CPCL/MAT100030 (sim 0.92): SOCKET HEAD CAP SCREW ZN, 12.9, M10x30, DIN 912 || NTPC/EGW000028 (sim 0.89): Socket Screw, Zinc Pltd, Gr.12.9, M10 x 30 mm || IOCL/RM-00031 (sim 0.88): Socket Screw – 12.9 – DIN 912 – Zinc Plated – M10 X 35",NMC-FAST-SHCS-DD191B7B,
record,missing-identity-attribute,CPCL,MAT100028,"STUD BOLT ASTM A193, PLN","CPCL/MAT100027 (sim 0.94): STUD BOLT PLN, ASTM A193, M20x100, B16 || NTPC/EGW000026 (sim 0.93): Stud Bolt, B-7, ASTM A193 || IOCL/RM-00028 (sim 0.93): Stud Bolt – Plain – M16 X 80 – B7 – ASTM A193",NMC-FAST-STUD-5C3AEBD1,
record,missing-identity-attribute,NTPC,EGW000026,"Stud Bolt, B-7, ASTM A193","IOCL/RM-00026 (sim 0.94): Stud Bolt – ASTM A193 – M20 X 100 – B7 || CPCL/MAT100025 (sim 0.93): STUD BOLT M20x100, PLN, B7, ASTM A193 || IOCL/RM-00028 (sim 0.93): Stud Bolt – Plain – M16 X 80 – B7 – ASTM A193",NMC-FAST-STUD-35740701,
record,missing-identity-attribute,NTPC,EGW000025,"Stud Bolt, M20 x 100 mm","SAIL/S100140 (sim 0.91): STUD BOLT / M20x100MM / B7 / PLAIN || CPCL/MAT100026 (sim 0.90): STUD BOLT M20x100, B7 || IOCL/RM-00026 (sim 0.85): Stud Bolt – ASTM A193 – M20 X 100 – B7",NMC-FAST-STUD-8F8EAA6E,
record,missing-identity-attribute,CPCL,MAT100022,FLAT WASHER M12,"SAIL/S100119 (sim 0.77): FLAT WASHER / M12 / ZP / DIN-125 || NTPC/EGW000021 (sim 0.73): Flat Washer, DIN 125, M12, Zinc Pltd || IOCL/RM-00022 (sim 0.72): Flat Washer – M12 – DIN 125 – Zinc Plated",NMC-FAST-WSHR-C3443799,
record,missing-identity-attribute,CPCL,MAT100012,"HEX BOLT M24x96, DIN 933, HDG","SAIL/S100049 (sim 0.92): HEX BOLT / DIN-933 / 8.8 GR / GALVANIZED / M24x96MM || NTPC/EGW000011 (sim 0.88): Hex Bolt, Gr.8.8, H.D.G., M24 x 96 mm",NMC-FAST-BOLT-99946D92,
record,missing-identity-attribute,NTPC,EGW000009,"Hex Bolt, H.D.G., DIN 933, M14 x 56 mm","IOCL/RM-00012 (sim 0.91): Hex Bolt – Hot Dip Galvanised – 8.8 – M14 X 56 – DIN 933 || CPCL/MAT100010 (sim 0.86): HEX BOLT HDG, M14x56, 8.8",NMC-FAST-BOLT-F7230951,
record,missing-identity-attribute,IOCL,RM-00003,Hex Bolt – IS:1364 – Zinc Plated – 8.8,"CPCL/MAT100004 (sim 0.98): HEX BOLT IS 1364, 8.8, M12x45, ZN || NTPC/EGW000003 (sim 0.97): Hex Bolt, IS 1364, M12 x 45 mm, Gr.8.8, Zinc Pltd || GAIL/GLM-HB-0013 (sim 0.95): HEX BOLT M12X45 8.8 ZN IS 1364",NMC-FAST-BOLT-D2B8639C,
record,missing-identity-attribute,CPCL,MAT100007,"HEX BOLT DIN 933, M10x30, A2-70, PLN","CPCL/MAT100008 (sim 0.98): HEX BOLT M10x30, DIN 933, A4-70, PLN || NTPC/EGW000006 (sim 0.97): Hex Bolt, DIN 933, M10 x 30 mm, Gr.A4-70, Plain Finish || NTPC/EGW000005 (sim 0.95): Hex Bolt, DIN 933, M10 x 30 mm, Gr.A2-70",PROVISIONAL-HEX-BOLT-CPCL-MAT100008,
record,missing-identity-attribute,CPCL,MAT100009,"HEX BOLT M12x50, DIN 931, PLN","IOCL/RM-00011 (sim 0.94): Hex Bolt – DIN 931 – M12 X 50 – A4-70 – Plain || IOCL/RM-00010 (sim 0.93): Hex Bolt – A4-70 – Plain – DIN 931 – M12 X 50 || NTPC/EGW000007 (sim 0.89): Hex Bolt, Gr.A4-70, M12 x 50 mm, DIN 931, Plain Finimh",PROVISIONAL-HEX-BOLT-IOCL-RM-00011,
record,missing-identity-attribute,CPCL,MAT100015,"HEX NUT A4-70, PLb, M10","NTPC/EGW000013 (sim 0.82): Hex Nut, Gr.A2-70, Plain Finish, DIN 934, M10 || CPCL/MAT100014 (sim 0.80): HEX NUT PLN, DIN 934, A2-70, M10 || NTPC/EGW000014 (sim 0.78): Hex Nut, Gr.A4-70, M10, Plaid Finish",PROVISIONAL-HEX-NUT-NTPC-EGW000013,
record,missing-identity-attribute,NTPC,EGW000002,"Hex Bolt, IS 1364, M12 x 40 mm, Zinc Pltd","CPCL/MAT100003 (sim 0.93): HEX BOLT ZN, 8.8, mS 1364, M12x40 || IOCL/RM-00002 (sim 0.89): Hex Bolt – M12 X 40 – 8.8 – Zinc Plated",NMC-FAST-BOLT-0300BDD8,
record,missing-identity-attribute,CPCL,MAT100008,"HEX BOLT M10x30, DIN 933, A4-70, PLN","NTPC/EGW000006 (sim 0.98): Hex Bolt, DIN 933, M10 x 30 mm, Gr.A4-70, Plain Finish || IOCL/RM-00007 (sim 0.94): Hex Bolt – A2-70 – M10 X 30 – DIN 933 – Plain || NTPC/EGW000005 (sim 0.94): Hex Bolt, DIN 933, M10 x 30 mm, Gr.A2-70",PROVISIONAL-HEX-BOLT-NTPC-EGW000006,
record,missing-identity-attribute,CPCL,MAT100014,"HEX NUT PLN, DIN 934, A2-70, M10","NTPC/EGW000013 (sim 0.98): Hex Nut, Gr.A2-70, Plain Finish, DIN 934, M10 || IOCL/RM-00015 (sim 0.94): Hex Nut – A2-70 – M10 – Plain – DIN 934 || NTPC/EGW000014 (sim 0.75): Hex Nut, Gr.A4-70, M10, Plaid Finish",PROVISIONAL-HEX-NUT-NTPC-EGW000013,
record,missing-identity-attribute,CPCL,MAT100016,"HEX NUT DIN 934, M12, HDG","CPCL/MAT100019 (sim 0.98): HEX NUT DIN 934, 8, HDG || NTPC/EGW000015 (sim 0.95): Hex Nut, H.D.G., M12, Gr.8, DIN 934 || IOCL/RM-00016 (sim 0.93): Hex Nut – Hot Dip Galvanised – M12 – 8 – DIN 934",NMC-FAST-NUT-996FDB1B,
record,missing-identity-attribute,SAIL,S100007,HEX BOLT / 8.8 GR / BLACK / DIN-931,"IOCL/RM-00001 (sim 0.93): Hex Bolt – M16 X 60 – 8.8 – DIN 931 – Black Oxide || CPCL/MAT100001 (sim 0.87): HEX BOLT DIN 931, 8.8, M16x60 || NTPC/EGW000001 (sim 0.83): Hex Bolt, Blk Oxide, Gr.8.8, M16 x 60 mm",NMC-FAST-BOLT-98E41B45,
record,missing-identity-attribute,NTPC,EGW000017,"Hex Nut, M14, H.D.G., DIN 934","CPCL/MAT100017 (sim 0.98): HEX NUT M14, DIN 934, 8, HDG || SAIL/S100091 (sim 0.93): HEX NUT / GALVANIZED / M14 / 8 GR / DIN-934 || IOCL/RM-00017 (sim 0.92): Hex Nut – Hot Dip Galvanised – 8 – DIN 934 – M14",NMC-FAST-NUT-69E933C6,
record,missing-identity-attribute,IOCL,RM-00008,Hex Bolt – Plain – A2-70,"NTPC/EGW000008 (sim 0.88): Hex Bolt, Gr.A4-70, Plain Finish, M12 x 50 mm || SAIL/S100035 (sim 0.81): HEX BOLT / PLAIN / M10x30MM || NTPC/EGW000006 (sim 0.79): Hex Bolt, DIN 933, M10 x 30 mm, Gr.A4-70, Plain Finish",PROVISIONAL-HEX-BOLT-NTPC-EGW000008,
record,missing-identity-attribute,IOCL,RM-00010,Hex Bolt – A4-70 – Plain – DIN 931 – M12 X 50,"IOCL/RM-00011 (sim 0.98): Hex Bolt – DIN 931 – M12 X 50 – A4-70 – Plain || NTPC/EGW000007 (sim 0.87): Hex Bolt, Gr.A4-70, M12 x 50 mm, DIN 931, Plain Finimh || NTPC/EGW000008 (sim 0.80): Hex Bolt, Gr.A4-70, Plain Finish, M12 x 50 mm",PROVISIONAL-HEX-BOLT-IOCL-RM-00011,
record,missing-identity-attribute,IOCL,RM-00015,Hex Nut – A2-70 – M10 – Plain – DIN 934,"NTPC/EGW000013 (sim 0.93): Hex Nut, Gr.A2-70, Plain Finish, DIN 934, M10 || NTPC/EGW000014 (sim 0.66): Hex Nut, Gr.A4-70, M10, Plaid Finish",PROVISIONAL-HEX-NUT-NTPC-EGW000013,
record,missing-identity-attribute,IOCL,RM-00029,Socket Screw – Black Oxide – DIN 912 – 12.9,"NTPC/EGW000027 (sim 0.94): Socket Screw, Blk Oxide, DIN 912, Gr.12.9 || NTPC/EGW000029 (sim 0.85): Socket Screw, DIN 912, Gr.12.9, M10 x 35 mm",PROVISIONAL-SOCKET-HEAD-CA-NTPC-EGW000027,
record,missing-identity-attribute,IOCL,RM-00009,Hex Bolt – M10 X 30 – Placn – A4-70,"SAIL/S100035 (sim 0.83): HEX BOLT / PLAIN / M10x30MM || IOCL/RM-00008 (sim 0.82): Hex Bolt – Plain – A2-70 || NTPC/EGW000005 (sim 0.77): Hex Bolt, DIN 933, M10 x 30 mm, Gr.A2-70",PROVISIONAL-HEX-BOLT-SAIL-S100035,
record,missing-identity-attribute,IOCL,RM-00011,Hex Bolt – DIN 931 – M12 X 50 – A4-70 – Plain,"NTPC/EGW000007 (sim 0.87): Hex Bolt, Gr.A4-70, M12 x 50 mm, DIN 931, Plain Finimh || NTPC/EGW000008 (sim 0.83): Hex Bolt, Gr.A4-70, Plain Finish, M12 x 50 mm || IOCL/RM-00008 (sim 0.81): Hex Bolt – Plain – A2-70",PROVISIONAL-HEX-BOLT-NTPC-EGW000007,
record,missing-identity-attribute,IOCL,RM-00007,Hex Bolt – A2-70 – M10 X 30 – DIN 933 – Plain,"NTPC/EGW000006 (sim 0.92): Hex Bolt, DIN 933, M10 x 30 mm, Gr.A4-70, Plain Finish || NTPC/EGW000005 (sim 0.90): Hex Bolt, DIN 933, M10 x 30 mm, Gr.A2-70 || SAIL/S100035 (sim 0.77): HEX BOLT / PLAIN / M10x30MM",PROVISIONAL-HEX-BOLT-NTPC-EGW000006,
record,missing-identity-attribute,NTPC,EGW000027,"Socket Screw, Blk Oxide, DIN 912, Gr.12.9","NTPC/EGW000029 (sim 0.90): Socket Screw, DIN 912, Gr.12.9, M10 x 35 mm",NMC-FAST-SHCS-CACBA14B,
record,missing-identity-attribute,NTPC,EGW000014,"Hex Nut, Gr.A4-70, M10, Plaid Finish","NTPC/EGW000013 (sim 0.77): Hex Nut, Gr.A2-70, Plain Finish, DIN 934, M10 || SAIL/S100063 (sim 0.69): HEX NUT / PLAIN / M10 / DIN-934 / A270 || SAIL/S100070 (sim 0.67): HEX NUT / PLAIN / DIN-934 / M10 / A470",PROVISIONAL-HEX-NUT-NTPC-EGW000013,
record,missing-identity-attribute,NTPC,EGW000005,"Hex Bolt, DIN 933, M10 x 30 mm, Gr.A2-70","NTPC/EGW000006 (sim 0.97): Hex Bolt, DIN 933, M10 x 30 mm, Gr.A4-70, Plain Finish || SAIL/S100035 (sim 0.78): HEX BOLT / PLAIN / M10x30MM",PROVISIONAL-HEX-BOLT-NTPC-EGW000006,
record,missing-identity-attribute,NTPC,EGW000006,"Hex Bolt, DIN 933, M10 x 30 mm, Gr.A4-70, Plain Finish",SAIL/S100035 (sim 0.79): HEX BOLT / PLAIN / M10x30MM,PROVISIONAL-HEX-BOLT-SAIL-S100035,
record,missing-identity-attribute,NTPC,EGW000007,"Hex Bolt, Gr.A4-70, M12 x 50 mm, DIN 931, Plain Finimh","NTPC/EGW000008 (sim 0.86): Hex Bolt, Gr.A4-70, Plain Finish, M12 x 50 mm",PROVISIONAL-HEX-BOLT-NTPC-EGW000008,
record,missing-identity-attribute,CPCL,MAT100035,"BALL BEARING 45 mm, DG, 628","SAIL/S100203 (sim 0.96): BALL BEARING / 628 / 45 mm / DEEP GROOVE || NTPC/EGW000037 (sim 0.94): Ball Bearing, D.G., 6210, Open, 50 mm || IOCL/RM-00034 (sim 0.94): Ball Bearing – Deep Groove – 35 mm – 627",PROVISIONAL-BALL-BEARING-SAIL-S100203,
record,missing-identity-attribute,IOCL,RM-00034,Ball Bearing – Deep Groove – 35 mm – 627,"SAIL/S100189 (sim 0.94): BALL BEARING / 35 mm / 2 RS / 627 / DEEP GROOVE || SAIL/S100203 (sim 0.93): BALL BEARING / 628 / 45 mm / DEEP GROOVE || NTPC/EGW000034 (sim 0.90): Ball Bearing, D.G., 2RS, 627, 35 mm",PROVISIONAL-BALL-BEARING-SAIL-S100189,
record,missing-identity-attribute,NTPC,EGW000036,"Ball Bearing, 629, 55 mm","SAIL/S100196 (sim 0.92): BALL BEARING / 2 RS / 35 mm / 627 || NTPC/EGW000037 (sim 0.89): Ball Bearing, D.G., 6210, Open, 50 mm || SAIL/S100217 (sim 0.88): BALL BEARING / DEEP GROOVE / OPEN / 50 mm / 6210",PROVISIONAL-BALL-BEARING-SAIL-S100196,
record,missing-identity-attribute,NTPC,EGW000039,"Ball Bearing, 25 mm, ZZ","NTPC/EGW000031 (sim 0.89): Ball Bearing, ZZ, 25 mm, D.G., 6205 || IOCL/RM-00037 (sim 0.88): Ball Bearing – 6305 – ZZ – Deep Groove – 25 mm || SAIL/S100231 (sim 0.87): BALL BEARING / 25 mm / ZZ / 6305 / DEEP GROOVE",NMC-BRG-BALL-B63F592A,
record,missing-identity-attribute,SAIL,S100189,BALL BEARING / 35 mm / 2 RS / 627 / DEEP GROOVE,SAIL/S100203 (sim 0.96): BALL BEARING / 628 / 45 mm / DEEP GROOVE || SAIL/S100224 (sim 0.94): BALL BEARING / 6305 / DEEP GROOVE / 25 mm / 2 RS || SAIL/S100182 (sim 0.92): BALL BEARING / 6204 / 20 mm / DEEP GROOVE,PROVISIONAL-BALL-BEARING-SAIL-S100203,
record,missing-identity-attribute,SAIL,S100175,BALL BEARING / 6205,"GAIL/GLM-BB-0003 (sim 0.90): BALL BEARING 6205 ZZ || NTPC/EGW000030 (sim 0.85): Ball Bearing, D.G., 2RS, 6205 || IOCL/RM-00032 (sim 0.82): Ball Bearing – 2RS – Deep Groove – 6205",NMC-BRG-BALL-B63F592A,
record,missing-identity-attribute,SAIL,S100203,BALL BEARING / 628 / 45 mm / DEEP GROOVE,"SAIL/S100217 (sim 0.95): BALL BEARING / DEEP GROOVE / OPEN / 50 mm / 6210 || NTPC/EGW000037 (sim 0.94): Ball Bearing, D.G., 6210, Open, 50 mm || SAIL/S100231 (sim 0.92): BALL BEARING / 25 mm / ZZ / 6305 / DEEP GROOVE",NMC-BRG-BALL-D9174EE7,
record,missing-identity-attribute,SAIL,S100210,BALL BEARING / DEEP GROOVE / 2 RS,"SAIL/S100224 (sim 0.91): BALL BEARING / 6305 / DEEP GROOVE / 25 mm / 2 RS || SAIL/S100217 (sim 0.86): BALL BEARING / DEEP GROOVE / OPEN / 50 mm / 6210 || CPCL/MAT100031 (sim 0.85): BALL BEARING 2RS, 25 mm, 6205, DG",NMC-BRG-BALL-D67D1726,
record,missing-identity-attribute,SAIL,S100196,BALL BEARING / 2 RS / 35 mm / 627,"SAIL/S100224 (sim 0.88): BALL BEARING / 6305 / DEEP GROOVE / 25 mm / 2 RS || SAIL/S100217 (sim 0.84): BALL BEARING / DEEP GROOVE / OPEN / 50 mm / 6210 || NTPC/EGW000037 (sim 0.82): Ball Bearing, D.G., 6210, Open, 50 mm",NMC-BRG-BALL-D67D1726,
record,missing-identity-attribute,CPCL,MAT100038,"BALL BEARING 50 mm, DG, OPEN","SAIL/S100217 (sim 0.92): BALL BEARING / DEEP GROOVE / OPEN / 50 mm / 6210 || NTPC/EGW000037 (sim 0.92): Ball Bearing, D.G., 6210, Open, 50 mm || CPCL/MAT100037 (sim 0.90): BALL BEARING 6210, DG, 50 mm",NMC-BRG-BALL-D9174EE7,
record,missing-identity-attribute,CPCL,MAT100037,"BALL BEARING 6210, DG, 50 mm","CPCL/MAT100035 (sim 0.97): BALL BEARING 45 mm, DG, 628 || NTPC/EGW000037 (sim 0.96): Ball Bearing, D.G., 6210, Open, 50 mm || SAIL/S100203 (sim 0.95): BALL BEARING / 628 / 45 mm / DEEP GROOVE",PROVISIONAL-BALL-BEARING-CPCL-MAT100035,
record,missing-identity-attribute,CPCL,MAT100033,"BALL BEARING DG, 6204, 20 mm","SAIL/S100182 (sim 0.97): BALL BEARING / 6204 / 20 mm / DEEP GROOVE || SAIL/S100203 (sim 0.93): BALL BEARING / 628 / 45 mm / DEEP GROOVE || CPCL/MAT100035 (sim 0.92): BALL BEARING 45 mm, DG, 628",PROVISIONAL-BALL-BEARING-SAIL-S100182,
record,missing-identity-attribute,CPCL,MAT100034,"BALL BEARING 2RS, DG, 35 mm, 627","CPCL/MAT100036 (sim 0.98): BALL BEARING 2RS, 55 mm, DG, 629 || NTPC/EGW000034 (sim 0.97): Ball Bearing, D.G., 2RS, 627, 35 mm || NTPC/EGW000033 (sim 0.95): Ball Bearing, 35 mm, 2RS, 627, D.G.",PROVISIONAL-BALL-BEARING-CPCL-MAT100036,
record,missing-identity-attribute,CPCL,MAT100036,"BALL BEARING 2RS, 55 mm, DG, 629","NTPC/EGW000034 (sim 0.97): Ball Bearing, D.G., 2RS, 627, 35 mm || IOCL/RM-00035 (sim 0.96): Ball Bearing – Deep Groove – 55 mm – 2RS – 629 || CPCL/MAT100031 (sim 0.95): BALL BEARING 2RS, 25 mm, 6205, DG",PROVISIONAL-BALL-BEARING-NTPC-EGW000034,
